pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,label,label_name,filename,split
0.15184462,1.6661687,1.444929,1.8004571,1.8458662,1.2461365,1.2992021,2.2593927,1,benign,Preprocessed_Dataset/cmmd/cmmd_409.jpg,train
0.08709955,1.5035698,1.6431671,1.732807,1.4915154,1.1603516,1.588245,2.0993567,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2953.jpg,train
0.244394,1.6061699,1.6081028,1.9829054,1.4465655,1.2518215,1.3473643,2.1762335,1,benign,Preprocessed_Dataset/cmmd/cmmd_2258.jpg,train
0.15539134,1.5544293,1.619338,1.8961443,1.5560982,1.27161,1.3198916,2.140435,1,benign,Preprocessed_Dataset/cmmd/cmmd_2243.jpg,train
1.0878541,1.437437,2.2054882,1.7350194,1.5270231,1.2063146,1.2784195,1.7277082,0,normal,Preprocessed_Dataset/cdd-cesm/cdd-cesm_566.jpg,train
1.6057167,2.0869308,0.86205316,1.0033464,1.375019,1.3018273,1.0033345,1.6886492,1,benign,Preprocessed_Dataset/ddsm/ddsm_9007.jpg,train
0.072475195,1.4824443,1.4828273,1.6305934,1.6660184,1.2034849,1.2857757,2.1831784,2,malignant,Preprocessed_Dataset/cmmd/cmmd_773.jpg,train
0.36678946,1.8531499,1.4238636,2.1661434,1.8527713,1.2678918,1.027477,2.2684565,0,normal,Preprocessed_Dataset/dmid/dmid_112.jpg,train
1.9862444,2.240645,1.8542061,1.198848,2.0018206,0.68222165,1.6364044,2.2699776,0,normal,Preprocessed_Dataset/ddsm/ddsm_563.jpg,train
0.16182661,1.044853,1.4580042,1.4558603,1.6147288,1.1195482,1.5072447,1.8256178,1,benign,Preprocessed_Dataset/cmmd/cmmd_3583.jpg,train
1.612219,1.616604,2.1988325,1.2309678,1.0233871,0.69271135,1.7421833,1.9502326,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3209.jpg,train
2.3900998,0.7887691,1.1491395,2.3122008,1.4210238,1.480555,1.6367756,2.412988,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3622.jpg,train
0.5322876,1.6381556,1.5510542,1.974647,1.0815339,1.1279746,1.2259649,2.1101367,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2034.jpg,train
0.16932833,1.025374,1.4996163,1.4393675,1.6287276,1.1708906,1.3728797,1.7827919,1,benign,Preprocessed_Dataset/cmmd/cmmd_2291.jpg,train
0.3600791,0.9201628,1.741454,1.1101708,1.748287,1.1779757,1.2318795,2.4450753,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2785.jpg,train
1.5407053,0.96835625,1.7650946,1.6721629,1.6383643,1.1345145,1.3905964,1.6622446,1,benign,Preprocessed_Dataset/ddsm/ddsm_6972.jpg,train
0.9633248,2.1430979,1.0431306,1.8999248,1.5899674,1.333216,0.61776644,2.1156347,2,malignant,Preprocessed_Dataset/inbreast/inbreast_200.jpg,train
1.6033231,2.016996,2.1804051,1.514928,2.0019715,0.8960481,1.8051162,2.5091891,0,normal,Preprocessed_Dataset/ddsm/ddsm_1645.jpg,train
0.40476394,1.2371728,1.6814578,1.2910565,1.1097002,0.96826226,1.3981377,1.5204318,1,benign,Preprocessed_Dataset/kau-bcmd/kau-bcmd_692.jpg,train
0.2268796,0.97875583,1.4478616,1.5145568,1.6810476,1.1316254,1.4742361,1.9434177,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3801.jpg,train
1.9338527,0.7456176,2.2319398,1.9139103,2.1331668,1.2538115,1.1334152,1.6471062,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3360.jpg,train
0.42640793,0.7896879,1.406695,1.433647,1.9312572,1.083753,1.5777619,2.10991,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3913.jpg,train
0.89672077,0.68969023,1.5829155,0.9218418,1.7975154,0.9932642,1.5278337,2.0416152,0,normal,Preprocessed_Dataset/dmid/dmid_229.jpg,train
1.3192457,1.1667049,1.8399633,1.3530184,1.446661,1.5072329,1.1466634,2.0013168,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5992.jpg,train
2.5549452,0.6610587,0.44158125,1.8846521,1.1968192,1.3062507,1.914924,2.500092,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5070.jpg,train
1.8463955,2.5487275,1.656981,1.3364223,2.6022923,0.88527167,1.5711946,2.111203,0,normal,Preprocessed_Dataset/ddsm/ddsm_291.jpg,train
0.3833943,0.8782395,1.5196435,1.3515449,1.8111069,1.0623087,1.528858,2.1547306,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3725.jpg,train
1.8202319,0.8176845,2.2728214,1.6420473,1.9358438,1.0080773,1.0100241,1.5346252,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5508.jpg,train
0.24955606,0.95876944,1.4586573,1.3750361,1.6761425,1.2251529,1.4331425,1.7714984,2,malignant,Preprocessed_Dataset/cmmd/cmmd_5066.jpg,train
2.2292643,0.47784173,1.6466978,1.7956055,2.0044556,0.633072,0.93864167,2.2042844,1,benign,Preprocessed_Dataset/ddsm/ddsm_8534.jpg,train
1.7258608,2.5550506,0.757731,1.7000023,1.759774,0.93220705,0.41610008,1.9723587,0,normal,Preprocessed_Dataset/ddsm/ddsm_555.jpg,train
0.30434954,0.85010636,1.2891365,1.5409262,1.885641,1.0899851,1.6522694,1.7460506,1,benign,Preprocessed_Dataset/dmid/dmid_290.jpg,train
0.23303688,1.5493438,1.6602188,2.0657845,1.3944879,1.1964236,1.2381942,2.1315238,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2056.jpg,train
2.2421815,0.7373854,1.1306568,1.9697392,1.21083,0.8187992,1.2647213,2.0548735,0,normal,Preprocessed_Dataset/ddsm/ddsm_594.jpg,train
