pc1,pc2,pc3,pc4,label,filename,split
1.7330923,2.2504876,0.8308727,0.51830894,1,train_5578.png,train
1.7306849,1.9774607,0.9973154,0.64708525,1,train_6411.png,train
2.251393,0.15755355,2.7707696,1.0388488,0,train_600.png,train
0.6460216,1.6339042,1.1678342,0.5495213,0,train_4680.png,train
0.73910475,1.2357702,0.9635358,0.19616637,1,train_1652.png,train
1.2818573,2.9336307,1.8725326,0.85230285,0,train_264.png,train
2.1441631,1.6293064,0.41337526,0.3458824,0,train_1221.png,train
0.71111196,1.3825171,0.86136043,0.570249,1,train_5150.png,train
0.3173417,1.4583979,2.0422614,0.5667896,0,train_6757.png,train
2.1862376,0.9872012,1.1946224,0.25316858,0,train_5211.png,train
1.611513,1.430711,0.6870855,0.35555708,0,train_8787.png,train
0.67948794,0.920191,0.8867341,0.24950138,1,train_2247.png,train
2.0343964,2.1579463,1.7614294,0.8003894,1,train_8682.png,train
0.58403414,1.870192,1.6674316,0.557681,0,train_1672.png,train
1.3898435,2.0296783,0.9820504,0.870103,1,train_7604.png,train
1.6859303,2.1658406,0.8794399,0.53545827,1,train_6915.png,train
0.6796,1.9236217,1.3435128,0.97432137,0,train_4175.png,train
1.519295,1.8975258,0.6102551,0.48613602,1,train_3833.png,train
1.7962934,2.5440457,1.6083304,0.9303378,0,train_3838.png,train
2.1382918,1.7460446,1.1314603,0.5707236,1,train_5390.png,train
0.7035035,1.5467203,1.091669,1.1365671,1,train_4725.png,train
2.2038105,2.11001,0.92499006,0.24444914,0,train_2416.png,train
3.0558777,0.58774376,2.492301,1.0162684,1,train_5947.png,train
0.78174376,2.6612296,2.1987278,0.40253726,0,train_3552.png,train
1.2752006,1.3524439,0.89380085,0.40240067,0,train_5856.png,train
3.0045128,1.220895,1.9406807,0.83550155,0,train_8857.png,train
1.3565605,2.5537434,1.5819575,0.95053935,0,train_5338.png,train
3.0335393,0.40116525,2.5204604,0.6706638,1,train_3058.png,train
2.3387713,1.9177489,0.904794,0.79705685,0,train_4660.png,train
0.69329,1.4561565,0.94790876,1.3065946,0,train_4268.png,train
0.8029388,2.5183268,1.8817525,1.1684544,0,train_2593.png,train
0.896236,1.9254484,1.1078753,0.6745513,0,train_5016.png,train
2.7574115,1.1354094,1.9395874,0.44053948,1,train_7644.png,train
0.54627705,2.4266078,2.148654,1.0872709,1,train_4132.png,train
2.160287,2.018399,0.4108941,0.86287767,1,train_7081.png,train
0.42149824,0.51114047,1.12884,0.29330426,1,train_912.png,train
