pc1,pc2,pc3,pc4,label,label_name,filename,split
2.1191838,2.3951502,1.4321252,1.0816333,1,benign,Preprocessed_Dataset/ddsm/ddsm_8139.jpg,train
0.15079224,1.2973213,1.5161984,1.5474182,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_578.jpg,train
0.6855515,0.873201,1.6072847,0.6475788,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1449.jpg,train
0.19257832,1.4549096,1.5840127,1.8200359,2,malignant,Preprocessed_Dataset/cmmd/cmmd_57.jpg,train
0.3675984,1.7279712,1.392266,2.1937206,1,benign,Preprocessed_Dataset/dmid/dmid_66.jpg,train
1.668026,2.493898,1.1727906,1.8530283,0,normal,Preprocessed_Dataset/ddsm/ddsm_395.jpg,train
1.8772051,2.042281,1.5738817,1.094142,0,normal,Preprocessed_Dataset/ddsm/ddsm_2631.jpg,train
2.2649922,0.40589243,0.75088865,1.9349808,0,normal,Preprocessed_Dataset/ddsm/ddsm_910.jpg,train
0.23077321,0.85591173,1.4714386,1.2412188,2,malignant,Preprocessed_Dataset/cmmd/cmmd_251.jpg,train
2.44238,0.6598113,1.0888655,2.2501597,1,benign,Preprocessed_Dataset/ddsm/ddsm_8870.jpg,train
2.2557898,0.15899873,0.6784504,1.3657111,0,normal,Preprocessed_Dataset/ddsm/ddsm_202.jpg,train
1.4362301,1.4066069,1.6451585,0.7160287,1,benign,Preprocessed_Dataset/ddsm/ddsm_7917.jpg,train
1.6634045,1.9423672,2.3270805,1.8052117,1,benign,Preprocessed_Dataset/ddsm/ddsm_8169.jpg,train
1.8127751,2.1734512,0.704479,1.0439521,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3167.jpg,train
0.943898,0.49401152,1.6230224,0.2975999,0,normal,Preprocessed_Dataset/ddsm/ddsm_1928.jpg,train
2.3154984,0.61715573,0.7743096,2.1010695,0,normal,Preprocessed_Dataset/ddsm/ddsm_1382.jpg,train
0.68157834,2.0464191,1.1092935,1.939239,0,normal,Preprocessed_Dataset/dmid/dmid_264.jpg,train
2.2692237,0.22928882,1.5323477,2.3546486,1,benign,Preprocessed_Dataset/ddsm/ddsm_8552.jpg,train
2.2021163,2.2233763,0.6402001,0.48804343,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5663.jpg,train
0.2721833,0.8273221,1.5997907,1.1037452,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1858.jpg,train
0.47347915,1.606641,1.4446894,2.0110955,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_754.jpg,train
0.32364327,1.5318096,1.7845321,1.9303606,1,benign,Preprocessed_Dataset/cmmd/cmmd_2379.jpg,train
1.6230321,0.69846433,2.250615,0.92757535,0,normal,Preprocessed_Dataset/ddsm/ddsm_1008.jpg,train
0.8635558,0.8997458,1.8833796,1.1349298,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1560.jpg,train
1.0426619,1.3793339,2.1844952,1.5949724,1,benign,Preprocessed_Dataset/cdd-cesm/cdd-cesm_699.jpg,train
1.86375,0.83656836,2.0425532,0.8859123,0,normal,Preprocessed_Dataset/ddsm/ddsm_996.jpg,train
1.993474,1.1517007,1.921491,1.2683113,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3392.jpg,train
2.022622,0.86270654,2.4641972,1.754393,1,benign,Preprocessed_Dataset/ddsm/ddsm_7416.jpg,train
0.4163177,1.7987866,1.3351324,2.146069,0,normal,Preprocessed_Dataset/dmid/dmid_394.jpg,train
0.31335938,1.4637804,1.7523326,1.9300098,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2938.jpg,train
1.2311875,0.6962368,1.19852,1.2586583,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_973.jpg,train
1.9903139,1.9206018,2.2103996,1.6554396,1,benign,Preprocessed_Dataset/ddsm/ddsm_8309.jpg,train
1.7157838,2.004372,1.5800483,1.2062414,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5211.jpg,train
1.5763224,2.0856676,0.8179085,0.9197702,1,benign,Preprocessed_Dataset/ddsm/ddsm_6767.jpg,train
1.0365269,1.115834,1.8496387,1.4696004,2,malignant,Preprocessed_Dataset/cdd-cesm/cdd-cesm_307.jpg,train
1.7588165,1.1387148,2.2464623,2.016595,1,benign,Preprocessed_Dataset/ddsm/ddsm_8860.jpg,train
0.40292466,0.8696655,1.8300321,1.0167941,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4507.jpg,train
0.7689223,1.8445151,1.366189,1.6992948,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1772.jpg,train
0.22440314,0.9462577,1.6422032,0.99564266,2,malignant,Preprocessed_Dataset/cmmd/cmmd_1849.jpg,train
1.4792249,0.60554856,1.9253459,0.58108103,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5736.jpg,train
1.7171532,2.150362,0.9156568,0.91155934,1,benign,Preprocessed_Dataset/ddsm/ddsm_10003.jpg,train
2.2842546,0.3426779,1.5655938,1.9913034,0,normal,Preprocessed_Dataset/ddsm/ddsm_1478.jpg,train
0.2607476,0.867061,1.4586402,1.1339307,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4984.jpg,train
1.1411191,1.4295802,2.3527634,1.8391082,0,normal,Preprocessed_Dataset/cdd-cesm/cdd-cesm_563.jpg,train
2.4603024,0.4885546,1.1614432,1.9877329,1,benign,Preprocessed_Dataset/ddsm/ddsm_8650.jpg,train
0.60857004,0.51299536,1.1292946,1.054166,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1759.jpg,train
2.6099489,0.31800663,1.7222073,2.3777006,0,normal,Preprocessed_Dataset/ddsm/ddsm_1000.jpg,train
0.47561735,0.80434877,1.9624262,0.9202394,1,benign,Preprocessed_Dataset/cmmd/cmmd_2466.jpg,train
1.8683814,2.1096034,0.29908133,1.7239523,0,normal,Preprocessed_Dataset/ddsm/ddsm_991.jpg,train
1.4838469,1.835707,1.8126379,1.5589535,0,normal,Preprocessed_Dataset/ddsm/ddsm_1233.jpg,train
0.23492432,1.4869537,1.575501,1.8475108,2,malignant,Preprocessed_Dataset/cmmd/cmmd_1409.jpg,train
0.27379096,0.91413075,1.7129084,0.8996708,1,benign,Preprocessed_Dataset/cmmd/cmmd_2259.jpg,train
1.5699337,1.7273672,2.0966823,1.4336383,1,benign,Preprocessed_Dataset/ddsm/ddsm_8101.jpg,train
0.3907895,0.88041466,1.7177739,0.8765098,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_414.jpg,train
0.21918774,0.85546154,1.5067632,1.3359387,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3818.jpg,train
0.238294,0.9316312,1.4595306,1.1175895,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3802.jpg,train
2.31395,0.5979845,1.0203885,2.1205204,0,normal,Preprocessed_Dataset/ddsm/ddsm_462.jpg,train
2.3895636,0.46021295,1.5367641,2.1390388,1,benign,Preprocessed_Dataset/ddsm/ddsm_8350.jpg,train
0.84440815,2.0540252,1.2232579,1.9390382,0,normal,Preprocessed_Dataset/dmid/dmid_207.jpg,train
1.6106086,2.130866,1.996472,1.5498985,1,benign,Preprocessed_Dataset/ddsm/ddsm_9269.jpg,train
2.6995087,0.5541011,1.107794,2.1901078,0,normal,Preprocessed_Dataset/ddsm/ddsm_2486.jpg,train
1.6083767,2.166388,1.1777388,1.6120372,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3247.jpg,train
0.32844585,1.5569303,1.6073669,2.0274987,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1030.jpg,train
2.4608102,2.225521,1.5307975,0.7452944,2,malignant,Preprocessed_Dataset/ddsm/ddsm_5079.jpg,train
2.7815351,0.4881271,1.1954432,2.5177355,2,malignant,Preprocessed_Dataset/ddsm/ddsm_2962.jpg,train
1.7213888,1.3963959,1.5644659,1.8290552,1,benign,Preprocessed_Dataset/cdd-cesm/cdd-cesm_539.jpg,train
0.22230828,1.4611166,1.5388522,1.8825816,2,malignant,Preprocessed_Dataset/cmmd/cmmd_3060.jpg,train
0.34796333,0.7775121,1.5231354,1.0734483,1,benign,Preprocessed_Dataset/cmmd/cmmd_3608.jpg,train
0.12582326,1.455421,1.4957008,1.6069556,1,benign,Preprocessed_Dataset/cmmd/cmmd_466.jpg,train
0.18056142,0.9343325,1.4188697,1.2865857,2,malignant,Preprocessed_Dataset/cmmd/cmmd_208.jpg,train
1.5902984,2.470374,1.0086951,1.8170185,0,normal,Preprocessed_Dataset/ddsm/ddsm_2499.jpg,train
0.4292223,1.5348898,1.4029511,1.429075,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3831.jpg,train
2.0218632,0.3974024,1.041326,1.7428226,1,benign,Preprocessed_Dataset/ddsm/ddsm_9058.jpg,train
0.4512412,1.6406825,1.5511324,2.0337615,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1477.jpg,train
0.21768665,1.4516721,1.3647121,1.6274308,2,malignant,Preprocessed_Dataset/cmmd/cmmd_866.jpg,train
2.1343334,2.1518774,1.3949366,0.76185,0,normal,Preprocessed_Dataset/ddsm/ddsm_1543.jpg,train
1.8082392,0.6452927,2.022229,2.0999475,0,normal,Preprocessed_Dataset/ddsm/ddsm_2108.jpg,train
1.3772899,2.0760567,1.275939,1.3068312,1,benign,Preprocessed_Dataset/ddsm/ddsm_6719.jpg,train
0.16315198,0.9016684,1.4504141,1.4104638,2,malignant,Preprocessed_Dataset/cmmd/cmmd_4598.jpg,train
1.6511197,2.341894,1.5485629,1.1181661,0,normal,Preprocessed_Dataset/ddsm/ddsm_1437.jpg,train
1.8641927,0.45421523,1.7026688,1.8905276,0,normal,Preprocessed_Dataset/ddsm/ddsm_1632.jpg,train
0.18468392,1.4563634,1.827118,1.7801872,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_344.jpg,train
1.7979047,0.94371897,2.0843005,1.5647463,2,malignant,Preprocessed_Dataset/ddsm/ddsm_4604.jpg,train
1.3465067,1.8816473,2.2318275,1.7970393,0,normal,Preprocessed_Dataset/ddsm/ddsm_1353.jpg,train
1.4793484,1.2921675,1.6432123,1.057764,1,benign,Preprocessed_Dataset/cdd-cesm/cdd-cesm_210.jpg,train
0.69228196,1.6792142,1.7814878,2.216779,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1510.jpg,train
1.727566,0.54820865,1.6730561,1.251229,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3882.jpg,train
1.8342875,1.8403962,2.0622659,1.5423427,0,normal,Preprocessed_Dataset/ddsm/ddsm_1489.jpg,train
1.4619598,2.0991206,1.5847188,1.4539832,2,malignant,Preprocessed_Dataset/ddsm/ddsm_3201.jpg,train
1.7723442,2.1090097,0.82630503,0.8958536,1,benign,Preprocessed_Dataset/ddsm/ddsm_8527.jpg,train
1.4595877,0.41900682,0.7467929,0.7278192,2,malignant,Preprocessed_Dataset/ddsm/ddsm_6206.jpg,train
1.4647217,1.8898282,1.5926137,1.1219306,1,benign,Preprocessed_Dataset/ddsm/ddsm_6735.jpg,train
1.0250567,1.3365012,1.4055423,0.90088135,0,normal,Preprocessed_Dataset/cdd-cesm/cdd-cesm_237.jpg,train
0.22065198,0.8048649,1.5065839,1.430288,2,malignant,Preprocessed_Dataset/cmmd/cmmd_2640.jpg,train
1.8818011,2.243469,2.0458348,1.64082,1,benign,Preprocessed_Dataset/ddsm/ddsm_8235.jpg,train
0.270101,1.1322452,1.6944772,1.1015894,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1332.jpg,train
1.9409078,0.87924737,2.6084929,1.3069563,2,malignant,Preprocessed_Dataset/ddsm/ddsm_6060.jpg,train
2.0681672,2.6412797,1.0925381,1.5219115,0,normal,Preprocessed_Dataset/ddsm/ddsm_51.jpg,train
2.5060277,0.4299187,1.068714,2.1884992,0,normal,Preprocessed_Dataset/ddsm/ddsm_2258.jpg,train
0.3394851,1.6051586,1.4275327,1.985288,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1666.jpg,train
1.3774828,1.4442884,2.3726742,1.4662777,0,normal,Preprocessed_Dataset/ddsm/ddsm_1637.jpg,train
0.29152882,1.1308923,1.6863881,1.0618613,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_93.jpg,train
1.3127002,0.45765406,1.0156976,0.80003875,1,benign,Preprocessed_Dataset/ddsm/ddsm_7460.jpg,train
0.105960846,1.4371077,1.4057808,1.504703,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1797.jpg,train
2.3700294,0.5644192,1.9396656,1.1753242,1,benign,Preprocessed_Dataset/ddsm/ddsm_9012.jpg,train
2.3202095,0.04978752,1.5572184,1.5390667,0,normal,Preprocessed_Dataset/ddsm/ddsm_866.jpg,train
1.520824,1.290759,1.5695899,0.8589053,2,malignant,Preprocessed_Dataset/cdd-cesm/cdd-cesm_888.jpg,train
0.15402544,1.4186499,1.620823,1.7468998,1,benign,Preprocessed_Dataset/cmmd/cmmd_173.jpg,train
1.9240808,2.5525088,1.0880879,1.5542846,0,normal,Preprocessed_Dataset/ddsm/ddsm_591.jpg,train
0.3567881,1.6156216,1.5293543,1.9503889,1,benign,Preprocessed_Dataset/cmmd/cmmd_1977.jpg,train
0.39141452,1.4973421,1.5843208,2.0805488,2,malignant,Preprocessed_Dataset/cmmd/cmmd_84.jpg,train
1.7782815,0.23453033,1.5719432,0.94721615,1,benign,Preprocessed_Dataset/ddsm/ddsm_8090.jpg,train
2.3767338,2.5976434,1.3786613,1.3501116,0,normal,Preprocessed_Dataset/ddsm/ddsm_1851.jpg,train
0.26215404,0.87576115,1.793362,1.122744,0,normal,Preprocessed_Dataset/kau-bcmd/kau-bcmd_1726.jpg,train
